"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"293",293,41,"HMM",0,"hi",10,25,0.980318,9,50,0.906662,"nodist",0.403846153846154,0.186274509803922,0.648304651862776,5.85,1,59
"301",301,42,"HMM",0,"hi",14,25,0.989142,0,50,NA,"nodist",0.557692307692308,0.00980392156862745,2.47888951601791,5.78,3,67
"309",309,43,"HMM",0,"hi",13,25,0.994996,4,50,1.5679545,"nodist",0.519230769230769,0.0882352941176471,1.39992531348658,10.44,4,86
"317",317,44,"",0,"hi",8,25,1.1052345,3,50,1.070163,"nodist",0.326923076923077,0.0686274509803922,1.03766608602452,3.74,2,77
"325",325,45,"",0,"hi",11,25,0.967409,0,50,NA,"nodist",0.442307692307692,0.00980392156862745,2.18864763359636,5.01,4,64
"333",333,46,"",0,"hi",22,25,0.699443,2,50,1.245599,"nodist",0.865384615384615,0.0490196078431373,2.75927046965236,3.05,3,68
"340",340,47,"LMM",0,"hi",17,25,0.830861,15,50,0.857626,"nodist",0.673076923076923,0.303921568627451,0.961580145571886,1.55,1,46
"348",348,48,"LMM",0,"hi",14,25,1.1615495,0,50,NA,"nodist",0.557692307692308,0.00980392156862745,2.47888951601791,1.66,1,55
"356",356,49,"HMM",0,"hi",3,25,1.13751,2,50,0.9652315,"nodist",0.134615384615385,0.0490196078431373,0.549598981728142,5.8,2,67
"364",364,50,"",0,"hi",16,25,0.92566,2,50,1.317535,"nodist",0.634615384615385,0.0490196078431373,1.99853718857327,4.57,3,81
"372",372,51,"",0,"hi",4,25,1.018674,3,50,0.967971,"nodist",0.173076923076923,0.0686274509803922,0.54401579433468,4.54,1,49
"380",380,52,"HMM",0,"hi",8,25,1.214171,7,50,1.27858,"nodist",0.326923076923077,0.147058823529412,0.600705914658036,5.84,3,68
"388",388,53,"LMM",0,"hi",9,25,0.997722,0,50,NA,"nodist",0.365384615384615,0.00980392156862745,1.98966611192412,2.68,4,64
"396",396,54,"",0,"hi",10,25,1.998702,10,50,1.883173,"nodist",0.403846153846154,0.205882352941176,0.577387910521749,2.97,2,59
"404",404,55,"",0,"hi",11,25,0.921165,13,50,0.872863,"nodist",0.442307692307692,0.264705882352941,0.483783276421416,4.7,2,60
"412",412,56,"HMM",0,"hi",10,25,2.0172985,5,50,1.746065,"nodist",0.403846153846154,0.107843137254902,0.994676157736477,5.87,2,53
"420",420,57,"",0,"hi",11,25,0.890865,4,50,0.9383365,"nodist",0.442307692307692,0.0882352941176471,1.20658129871989,3.82,1,52
"428",428,58,"",0,"hi",11,25,1.019178,3,50,0.95419,"nodist",0.442307692307692,0.0686274509803922,1.34097062811968,3.23,1,48
"436",436,59,"",0,"hi",10,25,1.2101415,3,50,1.659948,"nodist",0.403846153846154,0.0686274509803922,1.24268739151983,3.61,2,74
"444",444,60,"",0,"hi",4,25,1.189145,1,50,1.179703,"nodist",0.173076923076923,0.0294117647058824,0.947434185337654,5.03,1,49
"452",452,61,"",0,"hi",9,25,1.076841,7,50,1.059599,"nodist",0.365384615384615,0.147058823529412,0.705028935080955,3.08,6,74
"460",460,62,"LMM",0,"hi",8,25,0.952984,0,50,NA,"nodist",0.326923076923077,0.00980392156862745,1.8853430915012,2.63,0,55
"468",468,63,"HMM",0,"hi",2,25,1.060105,3,50,1.800354,"nodist",0.0961538461538462,0.0686274509803922,0.18230889722697,6.69,5,88
"476",476,64,"",0,"hi",9,25,0.862021,1,50,0.891908,"nodist",0.365384615384615,0.0294117647058824,1.54540749745041,4.28,0,62
"484",484,65,"",0,"hi",7,25,0.7644,2,50,1.1832945,"nodist",0.288461538461538,0.0490196078431373,1.09654996285065,3.27,0,53
"492",492,66,"LMM",0,"hi",16,25,0.9401855,1,50,1.002205,"nodist",0.634615384615385,0.0294117647058824,2.23361242321645,1.29,1,50
"500",500,67,"HMM",0,"hi",13,25,1.950873,3,50,2.157298,"nodist",0.519230769230769,0.0686274509803922,1.53431464288638,8.49,4,63
"508",508,68,"",0,"hi",7,25,1.038335,3,50,1.036381,"nodist",0.288461538461538,0.0686274509803922,0.928206806490858,5.29,3,61
"516",516,69,"HMM",0,"hi",8,25,0.9697555,2,50,1.374644,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,6.67,4,64
"524",524,70,"",0,"hi",14,25,1.088829,4,50,0.936884,"nodist",0.557692307692308,0.0882352941176471,1.49682318114144,4.51,1,55
