adhdF,groupStatus,meanHitRate,meanFalseAlarm,meanDprime
High,HMM,0.37674825175,0.09001782545454545,1.14959516475
High,LMM,0.28846153836363636,0.06862745109090909,1.0936697606818182
Low,HMM,0.286858974375,0.08496732033333333,0.8188023659583333
Low,LMM,0.3887959866956522,0.07800511526086956,1.3023659573478261
