"","X.2","X.1","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis","Gender","Gender2","Gender3","Gender4","Gender5"
"37",37,452,452,61,"",0,"hi",9,25,1.076841,7,50,1.059599,"nodist",0.365384615,0.147058824,0.705028935,3.08,6,74,"1",1,"1","1","1"
"38",38,757,757,101,"",0,"hi",20,25,0.911503,0,50,NA,"nodist",0.788461538,0.009803922,3.134863104,3.11,3,66,"2",2,"2","2","2"
"39",39,829,829,111,"",0,"hi",11,25,1.018387,11,50,0.943375,"nodist",0.442307692,0.225490196,0.608660629,3.13,0,60,"2",2,"2","2","2"
"40",40,837,837,112,"",0,"hi",1,25,0.899687,1,50,1.218838,"nodist",0.057692308,0.029411765,0.315064995,3.19,1,82,"1",1,"1","1","1"
"41",41,961,961,128,"",0,"hi",2,25,1.8245065,0,50,NA,"nodist",0.096153846,0.009803922,1.029985903,3.19,3,63,"1",1,"1","1","1"
"42",42,865,865,116,"",0,"hi",9,25,1.045149,2,50,1.3177875,"nodist",0.365384615,0.049019608,1.310332263,3.22,2,67,"1",1,"1","1","1"
"43",43,428,428,58,"",0,"hi",11,25,1.019178,3,50,0.95419,"nodist",0.442307692,0.068627451,1.340970628,3.23,1,48,"1",1,"1","1","1"
"44",44,484,484,65,"",0,"hi",7,25,0.7644,2,50,1.1832945,"nodist",0.288461538,0.049019608,1.096549963,3.27,0,53,"1",1,"1","1","1"
"45",45,845,845,113,"",0,"hi",10,25,0.9753745,11,50,0.788695,"nodist",0.403846154,0.225490196,0.510377392,3.27,2,68,"2",2,"2","2","2"
"46",46,548,548,73,"",0,"hi",9,25,1.161064,20,50,1.2986245,"nodist",0.365384615,0.401960784,-0.09582737,3.3,1,48,"2",2,"2","2","2"
"47",47,1057,1057,140,"",0,"hi",6,25,0.991248,1,50,1.113164,"nodist",0.25,0.029411765,1.21502021,3.31,1,64,"1",1,"1","1","1"
"48",48,645,645,87,"",0,"hi",14,25,0.90365,1,50,0.799443,"nodist",0.557692308,0.029411765,2.034630902,3.45,3,67,"1",1,"1","1","1"
"49",49,945,945,126,"",0,"hi",5,25,0.972566,0,50,NA,"nodist",0.211538462,0.009803922,1.532674046,3.47,1,55,"2",2,"2","2","2"
"50",50,33,33,8,"",0,"hi",9,25,1.166816,2,50,1.1352245,"nodist",0.365384615,0.049019608,1.310332263,3.53,1,60,"1",1,"1","1","1"
"51",51,64,64,12,"",0,"hi",11,25,0.820451,6,50,0.6651015,"nodist",0.442307692,0.12745098,0.993402537,3.55,1,67,"1",1,"1","1","1"
"52",52,1033,1033,137,"",0,"hi",16,25,0.823959,1,50,1.056219,"nodist",0.634615385,0.029411765,2.233612423,3.59,2,39,"2",2,"2","2","2"
"53",53,436,436,59,"",0,"hi",10,25,1.2101415,3,50,1.659948,"nodist",0.403846154,0.068627451,1.242687392,3.61,2,74,"2",2,"2","2","2"
"54",54,103,103,17,"",0,"hi",11,25,0.745059,14,50,0.746748,"nodist",0.442307692,0.284313725,0.424953144,3.69,2,64,"1",1,"1","1","1"
"55",55,977,977,130,"",0,"hi",6,25,1.057255,2,50,1.2292955,"nodist",0.25,0.049019608,0.979944975,3.7,4,56,"1",1,"1","1","1"
"56",56,245,245,35,"",0,"hi",13,25,0.987149,3,50,1.262076,"nodist",0.519230769,0.068627451,1.534314643,3.73,1,49,"2",2,"2","2","2"
"57",57,317,317,44,"",0,"hi",8,25,1.1052345,3,50,1.070163,"nodist",0.326923077,0.068627451,1.037666086,3.74,2,77,"1",1,"1","1","1"
"58",58,685,685,92,"",0,"hi",13,25,0.881733,0,50,NA,"nodist",0.519230769,0.009803922,2.381991648,3.78,5,93,"1",1,"1","1","1"
"59",59,25,25,7,"",0,"hi",11,25,0.845085,0,50,NA,"nodist",0.442307692,0.009803922,2.188647634,3.82,0,44,"1",1,"1","1","1"
"60",60,420,420,57,"",0,"hi",11,25,0.890865,4,50,0.9383365,"nodist",0.442307692,0.088235294,1.206581299,3.82,1,52,"1",1,"1","1","1"
"61",61,119,119,19,"",0,"hi",7,25,1.210688,0,50,NA,"nodist",0.288461538,0.009803922,1.775883812,3.84,4,67,"2",2,"2","2","2"
"62",62,921,921,123,"",0,"hi",7,25,1.106186,0,50,NA,"nodist",0.288461538,0.009803922,1.775883812,3.98,1,68,"1",1,"1","1","1"
"63",63,221,221,32,"",0,"hi",10,25,0.8243695,2,50,0.960817,"nodist",0.403846154,0.049019608,1.411030548,3.99,0,50,"1",1,"1","1","1"
"64",64,111,111,18,"",0,"hi",6,25,0.996933,6,50,0.862835,"nodist",0.25,0.12745098,0.464033728,4.04,1,60,"1",1,"1","1","1"
"65",65,622,622,84,"",0,"hi",10,25,0.8129215,3,50,0.876379,"nodist",0.403846154,0.068627451,1.242687392,4.13,3,62,"2",2,"2","2","2"
"66",66,661,661,89,"",0,"hi",4,25,1.137408,NA,NA,NA,"nodist",0.173076923,NA,NA,4.13,5,60,"2",2,"2","2","2"
"67",67,476,476,64,"",0,"hi",9,25,0.862021,1,50,0.891908,"nodist",0.365384615,0.029411765,1.545407497,4.28,0,62,"2",2,"2","2","2"
"68",68,773,773,103,"",0,"hi",7,25,0.896231,2,50,1.130983,"nodist",0.288461538,0.049019608,1.096549963,4.32,2,59,"1",1,"1","1","1"
"69",69,797,797,106,"",0,"hi",10,25,0.951634,3,50,1.219793,"nodist",0.403846154,0.068627451,1.242687392,4.34,3,53,"2",2,"2","2","2"
"70",70,72,72,13,"",0,"hi",8,25,0.821185,2,50,1.011338,"nodist",0.326923077,0.049019608,1.206009242,4.47,2,56,"2",2,"2","2","2"
"71",71,524,524,70,"",0,"hi",14,25,1.088829,4,50,0.936884,"nodist",0.557692308,0.088235294,1.496823181,4.51,1,55,"2",2,"2","2","2"
"72",72,237,237,34,"",0,"hi",5,25,1.044138,4,50,1.582349,"nodist",0.211538462,0.088235294,0.550607711,4.53,3,61,"2",2,"2","2","2"
"73",73,372,372,51,"",0,"hi",4,25,1.018674,3,50,0.967971,"nodist",0.173076923,0.068627451,0.544015794,4.54,1,49,"2",2,"2","2","2"
"74",74,364,364,50,"",0,"hi",16,25,0.92566,2,50,1.317535,"nodist",0.634615385,0.049019608,1.998537189,4.57,3,81,"1",1,"1","1","1"
"75",75,889,889,119,"",0,"hi",12,25,0.909699,4,50,0.982241,"nodist",0.480769231,0.088235294,1.303479166,4.58,3,55,"2",2,"2","2","2"
"76",76,1001,1001,133,"",0,"hi",6,25,1.183594,0,50,NA,"nodist",0.25,0.009803922,1.659278825,4.64,2,62,"2",2,"2","2","2"
"77",77,269,269,38,"",0,"hi",11,25,2.09293,1,50,2.061405,"nodist",0.442307692,0.029411765,1.744389019,4.67,3,49,"2",2,"2","2","2"
"78",78,285,285,40,"",0,"hi",6,25,1.0176535,0,50,NA,"nodist",0.25,0.009803922,1.659278825,4.67,4,77,"2",2,"2","2","2"
"79",79,404,404,55,"",0,"hi",11,25,0.921165,13,50,0.872863,"nodist",0.442307692,0.264705882,0.483783276,4.7,2,60,"1",1,"1","1","1"
"80",80,805,805,107,"",0,"hi",14,25,1.1020785,7,50,1.068209,"nodist",0.557692308,0.147058824,1.194252339,4.71,0,58,"2",2,"2","2","2"
"81",81,873,873,117,"",0,"hi",14,25,0.859304,10,50,1.101208,"nodist",0.557692308,0.205882353,0.96591303,4.73,4,57,"1",1,"1","1","1"
"82",82,95,95,16,"",0,"hi",1,25,1.150191,2,50,1.041528,"nodist",0.057692308,0.049019608,0.07998976,4.73,5,71,"2",2,"2","2","2"
"83",83,1017,1017,135,"",0,"hi",13,25,1.178465,4,50,1.358082,"nodist",0.519230769,0.088235294,1.399925313,4.74,2,58,"1",1,"1","1","1"
"84",84,701,701,94,"",0,"hi",3,25,1.206874,0,50,NA,"nodist",0.134615385,0.009803922,1.228932831,4.79,2,49,"2",2,"2","2","2"
"85",85,969,969,129,"",0,"hi",7,25,0.75395,0,50,NA,"nodist",0.288461538,0.009803922,1.775883812,4.8,3,71,"2",2,"2","2","2"
"86",86,181,181,27,"",0,"hi",16,25,1.5178775,4,50,1.234862,"nodist",0.634615385,0.088235294,1.695804703,4.8,5,67,"2",2,"2","2","2"
"87",87,709,709,95,"",0,"hi",8,25,0.880484,12,50,1.1206085,"nodist",0.326923077,0.245098039,0.24157151,4.84,4,77,"2",2,"2","2","2"
"88",88,749,749,100,"",0,"hi",14,25,0.9184555,5,50,1.160954,"nodist",0.557692308,0.107843137,1.383201277,4.92,2,61,"2",2,"2","2","2"
"89",89,325,325,45,"",0,"hi",11,25,0.967409,0,50,NA,"nodist",0.442307692,0.009803922,2.188647634,5.01,4,64,"2",2,"2","2","2"
"90",90,444,444,60,"",0,"hi",4,25,1.189145,1,50,1.179703,"nodist",0.173076923,0.029411765,0.947434185,5.03,1,49,"1",1,"1","1","1"
"91",91,189,189,28,"",0,"hi",8,25,1.0341275,4,50,1.1494815,"nodist",0.326923077,0.088235294,0.903276757,5.09,4,81,"2",2,"2","2","2"
"92",92,1081,1081,143,"",0,"hi",6,25,1.8396935,3,50,1.8835,"nodist",0.25,0.068627451,0.811601819,5.16,2,53,"2",2,"2","2","2"
"93",93,151,151,23,"",0,"hi",12,25,1.094198,5,50,0.95933,"nodist",0.480769231,0.107843137,1.189857262,5.18,0,45,"1",1,"1","1","1"
"94",94,1009,1009,134,"",0,"hi",3,25,1.06326,2,50,1.145411,"nodist",0.134615385,0.049019608,0.549598982,5.18,3,59,"1",1,"1","1","1"
"95",95,638,638,86,"",0,"hi",16,25,0.813786,9,50,0.886115,"nodist",0.634615385,0.18627451,1.235811293,5.24,2,65,"2",2,"2","2","2"
"96",96,213,213,31,"",0,"hi",7,25,1.11352,13,50,1.025422,"nodist",0.288461538,0.264705882,0.071019455,5.29,0,77,"2",2,"2","2","2"
"97",97,508,508,68,"",0,"hi",7,25,1.038335,3,50,1.036381,"nodist",0.288461538,0.068627451,0.928206806,5.29,3,61,"2",2,"2","2","2"
"98",98,229,229,33,"",0,"hi",10,25,1.8274335,1,50,1.8503,"nodist",0.403846154,0.029411765,1.646105783,5.38,3,58,"1",1,"1","1","1"
"99",99,614,614,83,"",0,"hi",8,25,1.003209,7,50,0.979916,"nodist",0.326923077,0.147058824,0.600705915,5.4,5,65,"1",1,"1","1","1"
"100",100,586,586,79,"",0,"hi",9,25,0.891169,10,50,1.015357,"nodist",0.365384615,0.205882353,0.476689625,5.41,2,46,"1",1,"1","1","1"
"101",101,733,733,98,"",0,"hi",21,25,0.745504,5,50,0.664175,"nodist",0.826923077,0.107843137,2.180156111,5.43,4,64,"1",1,"1","1","1"
"102",102,165,165,25,"",0,"hi",13,25,0.935528,6,50,1.2096385,"nodist",0.519230769,0.12745098,1.186746552,5.45,5,67,"1",1,"1","1","1"
"103",103,693,693,93,"",0,"hi",6,25,1.2001265,1,50,1.2968,"nodist",0.25,0.029411765,1.21502021,5.46,4,62,"1",1,"1","1","1"
"104",104,606,606,82,"",0,"hi",16,25,0.9554195,4,50,1.175182,"nodist",0.634615385,0.088235294,1.695804703,5.59,3,67,"1",1,"1","1","1"
"105",105,17,17,6,"HMM",0,"hi",18,25,0.9906565,3,50,1.062458,"nodist",0.711538462,0.068627451,2.043976332,5.77,4,74,"1",1,"1","1","1"
"106",106,301,301,42,"HMM",0,"hi",14,25,0.989142,0,50,NA,"nodist",0.557692308,0.009803922,2.478889516,5.78,3,67,"1",1,"1","1","1"
"107",107,356,356,49,"HMM",0,"hi",3,25,1.13751,2,50,0.9652315,"nodist",0.134615385,0.049019608,0.549598982,5.8,2,67,"2",2,"2","2","2"
"108",108,540,540,72,"HMM",0,"hi",9,25,0.985799,10,50,1.018827,"nodist",0.365384615,0.205882353,0.476689625,5.81,2,52,"1",1,"1","1","1"
"109",109,849,849,114,"HMM",0,"hi",2,25,1.951741,1,50,2.153172,"nodist",0.096153846,0.029411765,0.585727288,5.84,2,49,"2",2,"2","2","2"
"110",110,380,380,52,"HMM",0,"hi",8,25,1.214171,7,50,1.27858,"nodist",0.326923077,0.147058824,0.600705915,5.84,3,68,"2",2,"2","2","2"
"111",111,293,293,41,"HMM",0,"hi",10,25,0.980318,9,50,0.906662,"nodist",0.403846154,0.18627451,0.648304652,5.85,1,59,"1",1,"1","1","1"
"112",112,412,412,56,"HMM",0,"hi",10,25,2.0172985,5,50,1.746065,"nodist",0.403846154,0.107843137,0.994676158,5.87,2,53,"1",1,"1","1","1"
"113",113,881,881,118,"HMM",0,"hi",9,25,1.780193,3,50,1.950127,"nodist",0.365384615,0.068627451,1.141989106,5.89,1,60,"2",2,"2","2","2"
"114",114,261,261,37,"HMM",0,"hi",8,25,0.9485725,1,50,1.620311,"nodist",0.326923077,0.029411765,1.441084477,5.9,4,58,"1",1,"1","1","1"
"115",115,1049,1049,139,"HMM",0,"hi",9,25,1.177506,1,50,1.478653,"nodist",0.365384615,0.029411765,1.545407497,6.04,4,56,"2",2,"2","2","2"
"116",116,48,48,10,"HMM",0,"hi",5,25,1.081535,8,50,1.036764,"nodist",0.211538462,0.166666667,0.166327037,6.21,4,51,"1",1,"1","1","1"
"117",117,953,953,127,"HMM",0,"hi",10,25,0.8990825,1,50,1.154675,"nodist",0.403846154,0.029411765,1.646105783,6.24,3,65,"2",2,"2","2","2"
"118",118,1073,1073,142,"HMM",0,"hi",11,25,0.880254,8,50,0.9089795,"nodist",0.442307692,0.166666667,0.822300625,6.37,3,47,"1",1,"1","1","1"
"119",119,669,669,90,"HMM",0,"hi",8,25,1.0082755,4,50,1.1777015,"nodist",0.326923077,0.088235294,0.903276757,6.47,0,43,"1",1,"1","1","1"
"120",120,1041,1041,138,"HMM",0,"hi",12,25,0.95996,1,50,0.878225,"nodist",0.480769231,0.029411765,1.841286887,6.48,0,52,"1",1,"1","1","1"
"121",121,143,143,22,"HMM",0,"hi",6,25,1.1542395,2,50,1.399953,"nodist",0.25,0.049019608,0.979944975,6.5,4,57,"1",1,"1","1","1"
"122",122,173,173,26,"HMM",0,"hi",7,25,1.013083,2,50,1.142026,"nodist",0.288461538,0.049019608,1.096549963,6.55,0,46,"1",1,"1","1","1"
"123",123,516,516,69,"HMM",0,"hi",8,25,0.9697555,2,50,1.374644,"nodist",0.326923077,0.049019608,1.206009242,6.67,4,64,"2",2,"2","2","2"
"124",124,468,468,63,"HMM",0,"hi",2,25,1.060105,3,50,1.800354,"nodist",0.096153846,0.068627451,0.182308897,6.69,5,88,"2",1,"1","1","2"
"125",125,905,905,121,"HMM",0,"hi",12,25,0.8985815,10,50,0.844784,"nodist",0.480769231,0.205882353,0.772569015,6.74,3,63,"2",2,"2","2","2"
"126",126,87,87,15,"HMM",0,"hi",10,25,1.026949,1,50,1.047657,"nodist",0.403846154,0.029411765,1.646105783,6.98,3,62,"1",1,"1","1","1"
"127",127,937,937,125,"HMM",0,"hi",12,25,0.82173,2,50,1.09094,"nodist",0.480769231,0.049019608,1.606211652,7.1,1,54,"1",1,"1","1","1"
"128",128,813,813,108,"HMM",0,"hi",5,25,0.599495,6,50,0.988629,"nodist",0.211538462,0.12745098,0.337428949,7.18,3,76,"1",1,"1","1","1"
"129",129,532,532,71,"HMM",0,"hi",18,25,2.0195305,8,50,2.1066855,"nodist",0.711538462,0.166666667,1.525306329,7.26,5,71,"2",2,"2","2","2"
"130",130,630,630,85,"HMM",0,"hi",7,25,0.919966,0,50,NA,"nodist",0.288461538,0.009803922,1.775883812,7.36,5,67,"2",1,"1","1","2"
"131",131,821,821,110,"HMM",0,"hi",3,25,1.212626,0,50,NA,"nodist",0.134615385,0.009803922,1.228932831,7.45,5,67,"2",1,"1","1","2"
"132",132,725,725,97,"HMM",0,"hi",9,25,1.086022,6,50,0.9260535,"nodist",0.365384615,0.12745098,0.794421016,7.82,5,71,"2",1,"1","1","2"
"133",133,500,500,67,"HMM",0,"hi",13,25,1.950873,3,50,2.157298,"nodist",0.519230769,0.068627451,1.534314643,8.49,4,63,"2",2,"2","2","2"
"134",134,80,80,14,"HMM",0,"hi",3,25,2.34621,4,50,2.075087,"nodist",0.134615385,0.088235294,0.246866496,8.6,5,62,"2",2,"2","2","2"
"135",135,857,857,115,"HMM",0,"hi",14,25,1.1534125,12,50,1.101664,"nodist",0.557692308,0.245098039,0.835117934,8.97,4,80,"1",1,"1","1","1"
"136",136,127,127,20,"HMM",0,"hi",1,25,0.709894,2,50,0.9868485,"nodist",0.057692308,0.049019608,0.07998976,9.24,2,68,"1",1,"1","1","1"
"137",137,1065,1065,141,"HMM",0,"hi",10,25,0.739773,5,50,0.56316,"nodist",0.403846154,0.107843137,0.994676158,9.64,0,69,"1",1,"1","1","1"
"138",138,309,309,43,"HMM",0,"hi",13,25,0.994996,4,50,1.5679545,"nodist",0.519230769,0.088235294,1.399925313,10.44,4,86,"2",2,"2","2","2"
